B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10
10096,9193,8204,7765,8995,8838,8182,1,2.443978648517557e+20,0.7184377838328792,1.0,-61787408.528610356,18300.0,142099500.0,283906016.6316304,-0.0001508100873794247,1.2848936690295771,-67729886.29518619
10030,9196,8252,7877,9804,9524,8718,1,2.9774553081527625e+20,6.867256637168142,1.0,-144008034.03539824,18282.0,144007314.0,295137713.22780454,-0.00013196756508401396,1.2469603119981647,-316955162.83185846
10098,9214,8202,7761,8870,8664,8374,1,2.4003733260290153e+20,0.5439739413680782,1.0,-46000651.49185667,18300.0,142026300.0,275852784.2608073,-0.0001440023081449985,1.279078098877478,-62262801.21172638
10138,9240,8198,7745,8640,8635,8334,1,2.3126295272980057e+20,0.29506008010680906,1.0,-40630815.67957277,18336.0,142012320.0,270869842.937365,-0.00014596384485168003,1.287137029037677,-52673483.12149533
10099,9175,8132,7654,8398,8433,8122,1,2.1295352318947705e+20,0.15637860082304528,1.0,-40921008.47619048,18231.0,139540074.0,265534245.43930066,-0.00015309196657019235,1.3010342280226546,-45731886.00411523
10069,9139,8114,7702,8906,9015,8493,1,2.4425654635649932e+20,0.6809974204643164,1.0,-36553211.93035253,18183.0,140045466.0,271842698.3920876,-0.00013959314524977638,1.2787001059696221,-65337598.37575236
10177,9265,8204,7753,8537,8550,8374,1,2.2807659223355936e+20,0.2030487804878049,1.0,-36550070.69268292,18381.0,142507893.0,268123590.7937664,-0.00014512888591714141,1.289467399092429,-49157332.01219512
10146,9222,8168,7680,8405,8197,8023,1,2.114368559965102e+20,0.13612866168868468,1.0,-45930249.30786905,18314.0,140651520.0,270116877.06468904,-0.00015762361137794606,1.3073663218247538,-45584483.626651354
10073,9184,8100,7643,8477,8160,7964,1,2.0965414544987918e+20,0.2362155388471178,1.0,-50136943.518796995,18173.0,138896239.0,270705292.8940231,-0.0001588167597998598,1.3051230537418383,-50508526.52631579
10072,9160,8058,7548,8318,7959,7629,1,1.96025430977748e+20,0.14823261117445838,1.0,-56660435.168757126,18130.0,136845240.0,272860693.26412374,-0.0001730535398488464,1.3308428365447633,-46356801.70353478
10169,9255,8185,7749,8481,8505,8323,1,2.2386866784894724e+20,0.17535545023696683,1.0,-36973194.42890995,18354.0,142225146.0,266957329.62958068,-0.00014679743191644136,1.290760543073411,-48000822.58886256
10135,9227,8155,7678,8395,8162,7953,1,2.0942675164103914e+20,0.13793103448275862,1.0,-48677068.92528736,18290.0,140430620.0,271040618.4930215,-0.00016023662467368516,1.3089400226329686,-46341187.14942529
10130,9208,8145,7671,8627,8325,8049,1,2.2102514689970592e+20,0.3206919494344644,1.0,-51140990.28143713,18275.0,140187525.0,275800613.37060505,-0.00015635997437280137,1.3055037892905952,-53025965.08383234
10180,9295,8274,7853,8642,8570,8294,1,2.3328658558210035e+20,0.23927178153446033,1.0,-44539696.678803645,18454.0,144919262.0,274332277.3426573,-0.00014798568801147497,1.280564263322884,-51036965.08972692
10145,9259,8211,7807,8686,8565,8255,1,2.31891810686519e+20,0.3255654557916381,1.0,-46378464.14667581,18356.0,143305292.0,274606101.2416717,-0.00014887367052942292,1.2832222895215022,-54591769.309115835
10250,9365,8267,7863,8496,9203,9241,1,2.5272184882271823e+20,0.1305587229190422,1.0,-4814058.611174459,18517.0,145599171.0,253241892.86873716,-0.00012002892732406696,1.2583053782058218,-48447396.27251995
10224,9309,8261,7890,8600,9400,9391,1,2.60085749093537e+20,0.20874384236453203,1.0,3463475.8435960594,18485.0,145846650.0,252431441.84857842,-0.0001159303533902399,1.2485358321797466,-49608617.28571428
