X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
66,56,56,71,79,50,1,79,-0.026495047060404172,71.0,1.0,0.8987341772151899,0.7088607594936709,0.0,3579.0
67,55,55,72,73,43,1,73,-0.03432738401134304,72.0,1.0,0.9863013698630136,0.7534246575342466,0.0,3126.0
67,59,56,71,76,48,1,76,-0.020304084710830592,71.0,1.0535714285714286,0.9342105263157895,0.7368421052631579,3.0,3436.0
68,56,55,72,70,42,1,70,-0.027052368137389392,72.0,1.018181818181818,1.0285714285714285,0.7857142857142857,1.0,3052.0
68,56,56,71,78,48,1,78,-0.016396184126077306,71.0,1.0,0.9102564102564102,0.717948717948718,0.0,3438.0
68,57,55,72,73,44,1,73,-0.024353460297741658,72.0,1.0363636363636364,0.9863013698630136,0.7534246575342466,2.0,3197.0
68,57,55,73,74,44,1,74,-0.031074947594627613,73.0,1.0363636363636364,0.9864864864864865,0.7432432432432432,2.0,3242.0
68,57,57,70,74,46,1,74,-0.011375295612385795,70.0,1.0,0.9459459459459459,0.7702702702702703,0.0,3248.0
68,57,57,71,76,46,1,76,-0.017457018466919823,71.0,1.0,0.9342105263157895,0.75,0.0,3296.0
68,60,65,74,91,61,1,91,-0.025156272383304732,74.0,0.9230769230769231,0.8131868131868132,0.7142857142857143,-5.0,4544.0
69,56,57,50,54,48,1,54,0.06489688743789727,50.0,0.9824561403508771,0.9259259259259259,1.0555555555555556,-1.0,2406.0
69,56,57,50,56,46,1,56,0.06996329440263348,50.0,0.9824561403508771,0.8928571428571429,1.0178571428571428,-1.0,2310.0
69,56,59,51,60,47,1,60,0.06899029876326634,51.0,0.9491525423728814,0.85,0.9833333333333333,-3.0,2410.0
69,60,61,82,81,51,1,81,-0.07533179255416966,82.0,0.9836065573770492,1.0123456790123457,0.7530864197530864,-1.0,4212.0
69,60,62,82,80,50,1,80,-0.07935188144654229,82.0,0.967741935483871,1.025,0.775,-2.0,4130.0
70,56,58,51,57,47,1,57,0.06970555396985098,51.0,0.9655172413793104,0.8947368421052632,1.0175438596491229,-2.0,2407.0
70,57,56,72,76,46,1,76,-0.011175646831864087,72.0,1.0178571428571428,0.9473684210526315,0.7368421052631579,1.0,3342.0
70,57,57,71,78,49,1,78,-0.005040255915543005,71.0,1.0,0.9102564102564102,0.7307692307692307,0.0,3508.0
70,57,59,51,59,47,1,59,0.06928473404860633,51.0,0.9661016949152542,0.864406779661017,1.0,-2.0,2409.0
70,57,60,52,62,50,1,62,0.06199679138182995,52.0,0.95,0.8387096774193549,0.967741935483871,-3.0,2612.0
