X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
66,56,56,71,79,50,1,-632259583.909114,5111.000172623791,-0.00049407453480116,127.0,0.45901639344262296,0.7088607594936709,2.7107617240444564e-05,5112.070776142718,-0.9655172413793104,106.0,50.0
67,55,55,72,73,43,1,-471557395.3118828,5251.000146685035,-0.0005705056381801693,127.0,0.45081967213114754,0.7534246575342466,3.6760651398742787e-06,5251.968318887876,-1.25,98.0,43.0
67,59,56,71,76,48,1,-622064805.1524123,5108.000157563561,-0.00042800236768004226,127.0,0.45528455284552843,0.7368421052631579,1.7343767343767344e-05,5109.098348043045,-1.18,104.0,48.0
68,56,55,72,70,42,1,-464366589.88571423,5251.00014162948,-0.0005342144938911308,127.0,0.44715447154471544,0.7857142857142857,-7.552157084867365e-06,5252.624768303986,-1.435897435897436,97.0,42.0
68,56,56,71,78,48,1,-600187271.5208334,5113.000165402802,-0.0004714811855604019,127.0,0.45161290322580644,0.717948717948718,2.332089552238806e-05,5114.022736112992,-1.018181818181818,104.0,48.0
68,57,55,72,73,44,1,-519363507.5965131,5252.000145172038,-0.0004931662190037899,127.0,0.44715447154471544,0.7534246575342466,3.622597764857179e-06,5253.062079737117,-1.3255813953488371,99.0,44.0
68,57,55,73,74,44,1,-526812173.71928746,5397.000141124045,-0.0005148877166303577,128.0,0.44715447154471544,0.7432432432432432,3.5741730257161747e-06,5397.998478413736,-1.3255813953488371,99.0,44.0
68,57,57,70,74,46,1,-551942575.1809635,4968.000160502012,-0.0004454184338442839,127.0,0.456,0.7702702702702703,1.3789632264981574e-05,4969.100671794373,-1.14,103.0,46.0
68,57,57,71,76,46,1,-560217712.4565217,5109.000155817564,-0.0004635151325505013,128.0,0.456,0.75,1.678838243935197e-05,5110.013782009965,-1.1176470588235294,103.0,46.0
68,60,65,74,91,61,1,-1086255749.9407313,5548.000181587589,-0.00039587510978061587,139.0,0.48872180451127817,0.7142857142857143,4.182607732903591e-05,5549.2180618757375,-0.7228915662650602,126.0,61.0
