X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
66,56,56,71,79,50,1,-56.00072861233912,550250.0,0.7887323943661971,79.0,71.17073170731707,3136.0,121.0,11413908.772151897,-4.296269830354575e-07,15.0,56.0,4686.0
67,55,55,72,73,43,1,-55.001081226688356,470592.00000000006,0.7638888888888888,73.0,73.71052631578948,3025.0,115.0,12037887.123287672,-6.984211576576296e-07,17.0,55.0,4824.0
67,59,56,71,76,48,1,-59.000821279215934,524832.0,0.8309859154929577,76.0,59.72727272727272,3304.0,119.0,12499491.144736841,-4.581511710030699e-07,15.0,59.0,4757.0
68,56,55,72,70,42,1,-56.001180458208744,456624.00000000006,0.7777777777777778,70.0,67.05128205128204,3080.0,114.0,12781818.514285713,-7.348299969114497e-07,17.0,56.0,4896.0
68,56,56,71,78,48,1,-56.00080085004417,538464.0,0.7887323943661971,78.0,73.3658536585366,3136.0,119.0,11560111.67948718,-4.6280649556601197e-07,15.0,56.0,4828.0
68,57,55,72,73,44,1,-57.00103230542782,487872.0,0.7916666666666666,73.0,69.10000000000001,3135.0,116.0,12475402.520547945,-6.305772275901282e-07,17.0,57.0,4896.0
68,57,55,73,74,44,1,-57.001032967910426,497860.00000000006,0.7808219178082192,74.0,74.02564102564105,3135.0,117.0,12651118.013513515,-6.507843540361072e-07,18.0,57.0,4964.0
68,57,57,70,74,46,1,-57.0009046637155,492660.0,0.8142857142857143,74.0,57.36363636363636,3249.0,116.0,12485597.297297297,-4.936306432379194e-07,13.0,57.0,4760.0
68,57,57,71,76,46,1,-57.000894212569534,506230.0,0.8028169014084507,76.0,63.18604651162791,3249.0,117.0,12506919.986842107,-5.034137765239281e-07,14.0,57.0,4828.0
68,60,65,74,91,61,1,-60.00044175187792,731268.0,0.8108108108108109,91.0,56.33333333333333,3900.0,135.0,15497380.879120879,-1.648007267416127e-07,9.0,60.0,5032.0
