X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
66,56,56,71,79,50,1,46173288,1.8845721285527584,-50442790.20929213,-11709.0,4.9108316766385025,1.7339657106232977,3.601952950689615,-0.02196078431372549
67,55,55,72,73,43,1,43651080,2.467154891518244,-44807184.784897625,-11650.0,5.87484123420615,1.9038172003124632,4.182953574762779,-0.029069767441860465
67,59,56,71,76,48,1,47436236,1.9203932024178325,-51030535.132610664,-11676.0,5.01158491823027,1.81554781278855,3.5961993105285317,-0.025085034013605442
68,56,55,72,70,42,1,43182720,2.5367651453432853,-43240790.86359692,-11530.0,5.9567261519314005,1.9996695821185617,4.152293248364634,-0.0310077519379845
68,56,56,71,78,48,1,46829328,2.0049428470790915,-52466031.794928946,-12174.0,5.137592738992235,1.7818184308568925,3.757161044875124,-0.023809523809523808
68,57,55,72,73,44,1,45837576,2.3125809371021733,-47405986.095405124,-11797.0,5.643385757060358,1.9175182108190179,3.9902933783238157,-0.028787878787878786
68,57,55,73,74,44,1,47418756,2.3709135034003403,-48341189.073920995,-11958.0,5.747555995481854,1.9051231821502093,4.070657693170174,-0.028787878787878786
68,57,57,70,74,46,1,43993740,2.0839616551776916,-48941444.27198964,-11746.0,5.2438437829108056,1.8645949121859813,3.771115787836952,-0.026364477335800187
68,57,57,71,76,46,1,46135800,2.131280977635614,-51272455.7571969,-12042.0,5.356252456637973,1.8286914368300613,3.8801137172471645,-0.026364477335800187
68,60,65,74,91,61,1,58585800,1.5286122005070488,-69629120.51050264,-13053.0,4.24913684128003,1.5603049445600339,3.240549978484018,-0.015864621893178214
69,56,57,50,54,48,1,19807200,1.1098473700593727,-31317170.252775073,-8625.0,3.2976407272921704,2.20321073388203,2.31689599285826,-0.023809523809523808
69,56,57,50,56,46,1,20540800,1.196160505456679,-33837231.789609835,-9003.0,3.521909342187256,2.124521683673469,2.5344730953135164,-0.025901942645698426
69,56,59,51,60,47,1,22276800,1.228285305721219,-37691447.43537052,-9531.0,3.6088977440054144,1.9995921985815603,2.6704368198690904,-0.024822695035460994
69,60,61,82,81,51,1,63364680,2.408243365128276,-56163531.29590805,-12804.0,5.633477191633972,1.863991321265589,3.9697034601490797,-0.02262443438914027
69,60,62,82,80,50,1,62188800,2.504408052269878,-54976018.42710291,-12747.0,5.773426830405841,1.8872843750000001,4.056706202034643,-0.023529411764705882
70,56,58,51,57,47,1,21651336,1.2092496734759015,-35392427.38129915,-9280.0,3.5281276507608177,2.122348611356686,2.540585674238752,-0.024822695035460994
70,57,56,72,76,46,1,48657024,2.1691525847625783,-53594685.42480806,-12514.0,5.41888122737288,1.8681575936408525,3.8997596001995722,-0.026364477335800187
70,57,57,71,78,49,1,48612564,1.9324835739349926,-55872642.1303516,-12559.0,5.001160712411272,1.8074574997651918,3.650069361853164,-0.023265306122448978
70,57,59,51,59,47,1,22639716,1.2114849402796777,-38256641.62248996,-9562.0,3.5714897212988306,2.0504196030732182,2.617417363021341,-0.02526595744680851
70,57,60,52,62,50,1,24257376,1.1404724332568117,-40653889.32735426,-9852.0,3.43782975305039,1.9673777315296566,2.550312783199567,-0.02235294117647059
70,58,59,66,68,50,1,38264688,1.6726108774451933,-44667201.666163266,-10978.0,4.378400757614615,1.99969723183391,3.071779717836795,-0.022745098039215685
70,58,59,67,68,49,1,39108704,1.778133256019662,-44600268.88131487,-11065.0,4.560373612368021,2.014396935244686,3.1863893801002376,-0.0236734693877551
70,58,63,66,80,60,1,43792320,1.2873497005992078,-57410296.56308877,-12010.0,3.736655691248174,1.6998177083333332,2.8102184172611064,-0.015846994535519125
70,58,63,67,80,59,1,44766720,1.3608905925581443,-57488000.46917488,-12087.0,3.8691080264134516,1.7123146186440679,2.8982076033226525,-0.01638418079096045
70,59,58,68,70,50,1,42126000,1.7180162859649564,-47348134.7969145,-11300.0,4.505297348066296,1.971142857142857,3.156344866077431,-0.023137254901960787
70,59,58,69,70,50,1,43030470,1.7693391238983842,-46977540.51474263,-11320.0,4.577421556908722,1.9854285714285713,3.1885022734337096,-0.023137254901960787
70,59,59,67,69,51,1,40368036,1.6400097341342115,-46091943.0971387,-11072.0,4.332234605341183,1.9852189563075808,3.0309346539255233,-0.0222473604826546
70,59,60,71,70,43,1,44277730,2.392678356687885,-48207492.86384976,-11857.0,5.704245195553511,2.0139534883720933,3.9965065741332255,-0.031183932346723044
70,59,61,63,74,46,1,39058236,1.735978622394186,-55998585.9276268,-12016.0,4.735845902544908,1.7970194048337411,3.5462584969464026,-0.0272895467160037
70,59,62,63,74,46,1,38783178,1.7577065971938328,-55998587.600196704,-12016.0,4.75687229088494,1.7970194048337411,3.5679958741344886,-0.0272895467160037
70,59,62,63,74,47,1,38783178,1.7021589314616845,-55644941.600196704,-11953.0,4.637539637404594,1.7970253174393485,3.4739483588603015,-0.02615248226950355
70,59,62,63,75,46,1,39307275,1.7538995701552431,-57456005.48013596,-12157.0,4.774433389759278,1.773062801932367,3.601089004056201,-0.0272895467160037
70,59,62,68,78,58,1,45688656,1.4010902479164562,-55676207.16300479,-11884.0,3.9368400414348033,1.769032397016482,2.8934416693404357,-0.017241379310344827
70,59,63,67,78,59,1,44400096,1.3410357519412295,-55634814.675790645,-11805.0,3.815780174205792,1.7562152464368892,2.820601811494999,-0.016666666666666666
70,60,58,86,77,50,1,66749760,2.715118937691871,-49859924.46791226,-12647.0,6.01412072006933,2.0257378984651715,4.048835728216624,-0.023529411764705882
70,60,60,82,78,49,1,62169120,2.5518988506304128,-53736581.13811338,-12790.0,5.850444614887283,1.948483140790833,4.052520333741833,-0.024489795918367346
70,60,60,82,80,50,1,63763200,2.4638916055991196,-56458174.658158615,-12990.0,5.735588699914567,1.8997812500000002,4.01670898491702,-0.023529411764705882
70,60,61,67,73,48,1,42845160,1.7990586858815214,-53336802.112139925,-11837.0,4.73953696250125,1.8764386689184964,3.4329096360924964,-0.025510204081632654
70,60,62,68,76,57,1,45271680,1.421924435974347,-54137028.42511927,-11670.0,3.967533535145071,1.8155768576566067,2.8785643835512693,-0.018148820326678767
70,60,64,73,84,55,1,54820080,1.7411231405560645,-64955585.31552612,-13009.0,4.614807228089884,1.7022005772005773,3.436963971169415,-0.01948051948051948
