X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
66,56,56,71,79,50,1,-0.00018957215440112564,-0.000190151321977103,-0.00018587785623628642,56.0,0.6556194514256433,-446534313.43333256,13803.017857142857,66.0,,0.6556399766218585,71.0
67,55,55,72,73,43,1,-0.0001861390355902672,-0.00018624587682386162,-0.00018191212860328227,55.0,0.8251665125840606,-411929638.48065174,14081.254545454545,67.0,,0.8252472915685352,72.0
67,59,56,71,76,48,1,-0.00018126448029657412,-0.00018163480239813585,-0.00017738752247129918,56.0,0.7017415077482881,-439537131.48967797,13884.440677966102,67.0,93.84754939733013,0.701764292022522,71.0
68,56,55,72,70,42,1,-0.00017589657427836944,-0.00017576516867560428,-0.000171731226702046,55.0,0.8760071446178291,-403335980.28644127,14160.571428571428,68.0,94.95494027353018,0.8760973816921538,72.0
68,56,56,71,78,48,1,-0.00018182417936091422,-0.00018233257036285306,-0.00017812896747273525,56.0,0.687406616413844,-445902494.10457534,13947.017857142857,68.0,,0.6874379344587884,71.0
68,57,55,72,73,44,1,-0.0001799389894652187,-0.00018004049519722097,-0.00017580150608293923,55.0,0.8072566764355621,-432477467.20240766,14155.947368421053,68.0,95.90985608028535,0.8073115510673868,72.0
68,57,55,73,74,44,1,-0.00018250447426029708,-0.0001826074737660893,-0.00017830671473189204,55.0,0.8183699782997416,-454146559.52479744,14424.491228070176,68.0,96.89492260284476,0.8184269011151356,73.0
68,57,57,70,74,46,1,-0.00017239518110901303,-0.00017268709567522063,-0.00016874040594930354,57.0,0.7273789446090076,-396813478.7661028,13758.964912280702,68.0,,0.7274259233253757,70.0
68,57,57,71,76,46,1,-0.0001771680838434065,-0.00017753747910969042,-0.00017341114627238157,57.0,0.7300291108908112,-419165270.72377825,14023.438596491229,68.0,,0.7300771208226221,71.0
68,60,65,74,91,61,1,-0.00016317866985809124,-0.0001639072874591333,-0.00016077440148580513,65.0,0.5307488903661202,-462688841.3585078,15407.266666666666,68.0,96.64334863651068,0.5307568204729923,74.0
69,56,57,50,54,48,1,-0.00011948642100240336,-0.00011967838890147719,-0.00011711486632174381,57.0,0.5000828787306025,-27224260.73769901,8904.642857142857,69.0,74.20608714338756,0.5000959796780404,50.0
69,56,57,50,56,46,1,-0.00012619803626841422,-0.00012650735775828961,-0.00012358402499928277,57.0,0.5100938470980619,-47890495.104602836,8900.642857142857,69.0,78.99252297428586,0.5101112714026033,50.0
69,56,59,51,60,47,1,-0.00012947800767530298,-0.00012992067937898916,-0.00012694030108957707,59.0,0.49455058007004826,-50273431.44860462,9223.446428571428,69.0,81.11830641057719,0.49456867762683004,51.0
69,60,61,82,81,51,1,-0.00016508715341301934,-0.0001650531970972609,-0.0001619770043899688,61.0,0.8096211251230294,-775829822.169765,17514.066666666666,69.0,97.80911063346073,0.8096721866867861,82.0
69,60,62,82,80,50,1,-0.0001617669165417317,-0.0001616800705693674,-0.00015870839273390264,62.0,0.8342600477827982,-742453480.8208623,17598.066666666666,69.0,97.82408725413292,0.8343293019413729,82.0
70,56,58,51,57,47,1,-0.0001222772030740177,-0.00012256521621267845,-0.00011983897971254755,58.0,0.5097112816779389,-51934579.97032835,9229.446428571428,70.0,79.17432582561865,0.5097288013010981,51.0
70,57,56,72,76,46,1,-0.00017229364969286124,-0.00017259000763548575,-0.00016857017233917979,56.0,0.7481418282975945,-463445852.32893604,14365.947368421053,70.0,98.89826559085941,0.7481856490795614,72.0
70,57,57,71,78,49,1,-0.00016894146362167372,-0.000169395314041627,-0.00016557658695034164,57.0,0.6744330829158272,-458744931.68961614,14161.438596491229,70.0,,0.6744610887833394,71.0
70,57,59,51,59,47,1,-0.00012439725696659277,-0.00012477680726178674,-0.00012191563103221578,59.0,0.49964492556665996,-51014535.081629634,9278.631578947368,70.0,81.14534748544193,0.4996623107690511,51.0
70,57,60,52,62,50,1,-0.0001252404031381228,-0.00012567858545033843,-0.00012292957666773616,60.0,0.4721429618292746,-30771273.324041642,9558.438596491229,70.0,81.1020999709341,0.4721553565330369,52.0
70,58,59,66,68,50,1,-0.00014048506849727288,-0.0001405988169779239,-0.00013779407557546164,59.0,0.6459932627876722,-318498186.983627,12983.103448275862,70.0,87.01473478226887,0.6460191297235455,66.0
70,58,59,67,68,49,1,-0.0001417822729558472,-0.00014184935026107027,-0.00013901017125806075,59.0,0.6756149506061102,-342439037.13013136,13247.396551724138,70.0,88.01473478243625,0.6756475505860515,67.0
70,58,63,66,80,60,1,-0.0001423426468127143,-0.00014289237749287874,-0.00014021565225155245,63.0,0.49120919071482405,-192616073.60255948,13223.103448275862,70.0,88.84191178070546,0.4912138921145633,66.0
70,58,63,67,80,59,1,-0.00014353043763629418,-0.000144055050166539,-0.0001413489539433615,63.0,0.5100380674764896,-247943222.79553443,13491.396551724138,70.0,89.84191178097663,0.5100450614487843,67.0
70,59,58,68,70,50,1,-0.0001472875710289051,-0.00014740932946907497,-0.0001443671681288954,58.0,0.6657285539072707,-375646857.96925694,13443.372881355932,70.0,88.98525367862779,0.6657505690237293,68.0
