X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
66,56,56,71,79,50,1,-8.455172413793107,0.12121212121212122,150.00692137320044,50.0,79.0,71.0,-1220.0,1.2160776781903542
67,55,55,72,73,43,1,-1.4785714285714278,0.014925373134328358,145.0067398119122,43.0,73.0,72.0,-1806.0,1.3902049828377492
67,59,56,71,76,48,1,-5.4685314685314665,0.07462686567164178,147.00656096227448,48.0,76.0,71.0,-1357.406779661017,1.2467898185130686
68,56,55,72,70,42,1,1.5072463768115938,-0.029411764705882353,142.00669642857144,42.0,70.0,72.0,-1911.5714285714284,1.3998210395269217
68,56,56,71,78,48,1,-7.465753424657535,0.10294117647058823,149.00680272108843,48.0,78.0,71.0,-1501.0,1.225071630764982
68,57,55,72,73,44,1,-1.4822695035460924,0.014705882352941176,145.00659769080823,44.0,73.0,72.0,-1742.3684210526317,1.336508467023173
68,57,55,73,74,44,1,-1.4788732394366235,0.014705882352941176,147.00654177817427,44.0,74.0,73.0,-1767.5263157894738,1.3589892681854812
68,57,57,70,74,46,1,-4.4788732394366235,0.058823529411764705,144.00672514619885,46.0,74.0,70.0,-1616.0,1.278891121666058
68,57,57,71,76,46,1,-5.4722222222222285,0.07352941176470588,147.00661489790048,46.0,76.0,71.0,-1641.0,1.3003809300817692
68,60,65,74,91,61,1,-17.427672955974842,0.25,165.00668859649124,61.0,91.0,74.0,-663.1666666666666,1.1610740441502254
69,56,57,50,54,48,1,-4.560975609756099,0.057971014492753624,104.00840336134453,48.0,54.0,50.0,-1104.75,0.7944685990338165
69,56,57,50,56,46,1,-6.552,0.08695652173913043,106.00805322128852,46.0,56.0,50.0,-1208.5357142857142,0.8290107120352868
69,56,59,51,60,47,1,-9.534883720930232,0.13043478260869565,111.0078437917223,47.0,60.0,51.0,-1227.107142857143,0.8747347227512651
