X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
66,56,56,71,79,50,1,8.252839092885123e-08,4.426385423473867e-05,4050.0,1.8003571428571428,142.0,95.83098591549296,2079.0,1.2762025316455696,5074.631180216498,73.92,-1221640144.0,1.0791805377720871
67,55,55,72,73,43,1,1.188291853450811e-07,5.978342565896078e-05,3612.0,2.191966173361522,144.0,91.0,2035.0,1.6514813634915577,5221.910446359026,85.69767441860465,-1014549857.0,1.2316469975702882
67,59,56,71,76,48,1,9.032597877332374e-08,4.922194212818261e-05,3936.0,1.7800141242937852,142.0,89.01408450704226,2185.0,1.3818530701754386,5083.648091283467,78.16666666666667,-1162686853.0,1.139719536122206
68,56,55,72,70,42,1,1.2610086051227213e-07,6.442180661014551e-05,3570.0,2.2040816326530615,144.0,86.33333333333333,2154.0,1.7632653061224488,5226.936423939929,89.04761904761905,-978808264.0,1.2781765483971366
68,56,56,71,78,48,1,8.544043402931812e-08,5.2145360747216404e-05,3984.0,1.8753720238095237,142.0,94.69014084507042,2137.0,1.3464209401709402,5075.690346915234,79.33333333333333,-1229170120.0,1.1567246616956641
68,57,55,72,73,44,1,1.1017586222160762e-07,6.15505602525469e-05,3740.0,2.0669856459330145,144.0,88.76388888888889,2128.0,1.613947696139477,5225.844612262568,85.0,-1069364679.0,1.2210199420677363
68,57,55,73,74,44,1,1.10196540874427e-07,6.153449754637575e-05,3784.0,2.1248006379585327,146.0,90.9041095890411,2083.0,1.6366707616707616,5369.878187241693,85.0,-1099069255.0,1.2046049739945792
68,57,57,70,74,46,1,9.667915179391425e-08,4.981991662539341e-05,3726.0,1.8688024408848207,140.0,87.94285714285715,2276.0,1.4394829612220916,4940.707361992599,84.26086956521739,-1101806663.0,1.2444601753744977
68,57,57,71,76,46,1,9.547974878293712e-08,4.9794141382854884e-05,3772.0,1.9225781845919148,142.0,91.2394366197183,2183.0,1.441933638443936,5079.74057318606,84.26086956521739,-1147750727.0,1.2275449371420337
68,60,65,74,91,61,1,4.726208010847981e-08,1.0260029104452474e-05,4697.0,1.4961748633879781,148.0,107.4864864864865,2488.0,0.9864889209151504,5505.402221550404,72.45901639344262,-1899418916.0,1.0137317886835726
69,56,57,50,54,48,1,8.44103280857931e-08,5.094369177505188e-05,2976.0,0.9300595238095238,100.0,44.1,3406.0,0.9645061728395062,2557.921455921433,81.9375,-617025544.0,1.6850483091787438
