X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
66,56,56,71,79,50,1,0.10126582278481013,50.0,66.70886075949367,,122.0,74.36619718309859,81.71837444582333,,72.17857142857143
67,55,55,72,73,43,1,0.0136986301369863,43.0,67.75342465753425,,122.0,68.86111111111111,68.88205752447851,,73.21818181818182
67,59,56,71,76,48,1,0.06578947368421052,48.0,67.77631578947368,167613352597.71835,123.0,72.66197183098592,76.77650523769606,-7.594359195282379e-07,72.19642857142857
68,56,55,72,70,42,1,-0.02857142857142857,42.0,68.8,109036289493.59691,123.0,67.05555555555556,64.28312389770724,4.425724567078159e-06,73.23636363636363
68,56,56,71,78,48,1,0.08974358974358974,48.0,68.71794871794872,,124.0,75.66197183098592,82.07703183104888,,72.21428571428571
68,57,55,72,73,44,1,0.0136986301369863,44.0,68.78082191780823,129672340223.33902,123.0,69.88888888888889,69.91007834757835,-4.3382715375032545e-06,73.23636363636363
68,57,55,73,74,44,1,0.013513513513513514,44.0,68.77027027027027,132546152126.84698,123.0,69.86301369863014,69.88366819227063,-3.7537336813677697e-06,74.23636363636363
68,57,57,70,74,46,1,0.05405405405405406,46.0,68.77027027027027,,125.0,72.85714285714286,76.00156462585035,,71.19298245614036
68,57,57,71,76,46,1,0.06578947368421052,46.0,68.75,,125.0,73.74647887323944,77.92254984536635,,72.19298245614036
68,60,65,74,91,61,1,0.18681318681318682,61.0,68.65934065934066,313971004087.1397,133.0,84.54054054054055,102.8380396755219,-8.055817206016852e-08,75.04615384615384
69,56,57,50,54,48,1,0.07407407407407407,48.0,70.03703703703704,89412027329.64774,126.0,75.9,80.49512941176471,3.2400935486054226e-07,51.21052631578947
69,56,57,50,56,46,1,0.10714285714285714,46.0,70.0,82044056679.57611,126.0,78.66,86.56712941176471,8.362149106625618e-07,51.21052631578947
69,56,59,51,60,47,1,0.15,47.0,69.93333333333334,88516244800.94199,128.0,82.52941176470588,95.5143744138667,1.793181134576205e-06,52.16949152542373
69,60,61,82,81,51,1,-0.012345679012345678,51.0,69.74074074074075,227014434255.9915,130.0,69.0,67.33370964252879,3.8765916117093634e-06,83.1311475409836
69,60,62,82,80,50,1,-0.025,50.0,69.75,211332654699.51904,131.0,68.15853658536585,65.68166613279641,-2.164154085772021e-06,83.11290322580645
70,56,58,51,57,47,1,0.10526315789473684,47.0,70.98245614035088,88807958028.45677,128.0,79.6078431372549,87.452643953509,7.616101346743034e-07,52.206896551724135
70,57,56,72,76,46,1,0.05263157894736842,46.0,70.75,149617954420.80685,126.0,74.86111111111111,78.0017961951022,4.783699295389748e-06,73.25
70,57,57,71,78,49,1,0.08974358974358974,49.0,70.73076923076923,,127.0,77.88732394366197,84.49100056700412,,72.2280701754386
70,57,59,51,59,47,1,0.13559322033898305,47.0,70.96610169491525,92180565651.29251,129.0,82.3529411764706,93.69614734536063,9.348232649464945e-07,52.186440677966104
70,57,60,52,62,50,1,0.16129032258064516,50.0,70.91935483870968,110578546871.26257,130.0,84.8076923076923,99.52385355029585,8.836223680429385e-07,53.166666666666664
70,58,59,66,68,50,1,0.029411764705882353,50.0,70.8529411764706,154679908179.28696,129.0,73.18181818181819,74.31569158456678,1.8534127902710996e-06,67.1864406779661
70,58,59,67,68,49,1,0.014705882352941176,49.0,70.8529411764706,149405467244.26776,129.0,72.08955223880596,72.11407562265215,2.0154489116937203e-06,68.1864406779661
70,58,63,66,80,60,1,0.175,60.0,70.725,248311450536.89273,133.0,85.9090909090909,102.85422405876952,-9.267396144030591e-08,67.11111111111111
70,58,63,67,80,59,1,0.1625,59.0,70.725,241841701879.603,133.0,84.6268656716418,99.80702628808069,-9.854505878231001e-08,68.11111111111111
70,59,58,68,70,50,1,0.02857142857142857,50.0,70.84285714285714,170464780940.98138,128.0,73.08823529411765,74.18677912341406,2.0171605234814433e-06,69.20689655172414
70,59,58,69,70,50,1,0.014285714285714285,50.0,70.84285714285714,172907172996.41608,128.0,72.02898550724638,72.05214240705733,2.025238998725145e-06,70.20689655172414
