X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4
66,56,56,71,79,50,1,295234.41695831425,0.9402745587448743,-69.8498023715415,-195305.73566017317
67,55,55,72,73,43,1,266411.30202904396,1.0315829528158296,-70.97014925373135,-167621.15264586158
67,59,56,71,76,48,1,302146.7655283621,0.964047442550037,-69.91865671641791,-200027.81052365294
68,56,55,72,70,42,1,268368.69045477454,1.0613095238095238,-71.04117647058824,-168930.3855042017
68,56,56,71,78,48,1,291601.87761087244,0.9263271939328277,-69.90040106951872,-193047.93172268907
68,57,55,72,73,44,1,286209.13827973325,1.0176940639269407,-70.98529411764706,-180000.8072755418
68,57,55,73,74,44,1,292787.49922433327,1.0312847093669013,-71.96826625386997,-180046.6073271414
68,57,57,70,74,46,1,269185.11471144704,0.9488416988416988,-68.97231833910034,-188195.78379772961
68,57,57,71,76,46,1,275878.6784200212,0.9505189028910304,-69.937306501548,-188290.4427244582
68,60,65,74,91,61,1,330568.3416615372,0.8593703593703594,-72.70361990950227,-262616.66029411764
69,56,57,50,54,48,1,143639.35889236737,0.5274074074074073,-48.975845410628025,-194649.01048136648
69,56,57,50,56,46,1,137759.9558726922,0.5085714285714286,-48.46376811594204,-186770.64479813667
69,56,59,51,60,47,1,136037.5850585233,0.508169934640523,-50.8695652173913,-191066.65256211182
69,60,61,82,81,51,1,370457.7314825524,1.153267088226438,-80.88550724637682,-222586.85869565216
69,60,62,82,80,50,1,353779.7435954935,1.167530487804878,-80.90660225442834,-218309.14239130434
70,56,58,51,57,47,1,143612.02567980907,0.5173718610251118,-49.457142857142856,-193544.09464285715
70,57,56,72,76,46,1,299030.4799284553,0.9506578947368421,-70.96571428571428,-193567.5192982456
70,57,57,71,78,49,1,302350.7363015015,0.9001444564824848,-69.93401360544217,-206130.21604010026
70,57,59,51,59,47,1,,0.49950149551345957,,-197045.5969924812
70,57,60,52,62,50,1,150384.99216547923,0.5080645161290323,-51.485714285714295,-209611.98496240602
70,58,59,66,68,50,1,259374.7595741355,0.8830213903743316,-65.13333333333334,-213430.12463054186
70,58,59,67,68,49,1,261213.16635043803,0.912862159789289,-66.13492063492063,-209234.12463054186
70,58,63,66,80,60,1,276312.5744595631,0.749810606060606,-64.9126050420168,-256370.7068965517
70,58,63,67,80,59,1,279649.39985397906,0.7751865671641791,-65.91344537815127,-252162.7068965517
70,59,58,68,70,50,1,286902.36689291196,0.9159663865546219,-67.08095238095238,-217030.81355932204
70,59,58,69,70,50,1,294328.9530982628,0.9449275362318842,-68.08214285714286,-217031.81355932204
70,59,59,67,69,51,1,276483.0423387022,0.8996322734155311,-66.11,-221307.97917675544
70,59,60,71,70,43,1,250904.42664715843,1.0024144869215292,-70.10142857142857,-187272.81355932204
70,59,61,63,74,46,1,209074.2523837831,0.7286572286572286,-62.012087912087914,-200320.2653753027
70,59,62,63,74,46,1,202534.50462447852,0.7284427284427284,-62.017857142857146,-200381.3225181598
70,59,62,63,74,47,1,206939.1497871575,0.7284427284427284,-62.017857142857146,-204654.3225181598
70,59,62,63,75,46,1,202582.3860559295,0.7187301587301588,-61.9978021978022,-200428.19975786927
70,59,62,68,78,58,1,295926.6677425834,0.8212669683257919,-66.94642857142857,-251897.83147699758
70,59,63,67,78,59,1,284171.3657865644,0.7950631458094145,-65.94952380952381,-256234.94576271187
70,60,58,86,77,50,1,428678.5277312662,1.305345816973724,-84.96466165413534,-220961.575
70,60,60,82,78,49,1,370213.9942744816,1.1848030018761726,-80.95079365079366,-216785.6238095238
70,60,60,82,80,50,1,377944.99449453875,1.1551829268292684,-80.91571428571429,-221234.32142857142
70,60,61,67,73,48,1,249218.89395748454,0.8499284399918217,-66.03690476190476,-212241.42261904763
70,60,62,68,76,57,1,295449.69453176606,0.8428792569659443,-66.98367346938775,-251556.09761904762
70,60,64,73,84,55,1,306946.1386604871,0.8829093281148075,-71.85214285714285,-243442.51666666666
70,61,61,86,79,51,1,411484.14642724645,1.271857521342361,-84.93968253968254,-229227.62154566744
71,57,59,52,60,50,1,158480.92398037034,0.5083333333333333,-51.88732394366197,-212351.21003212256
71,57,60,51,61,50,1,145439.9919783926,0.4660880745740919,-50.859154929577464,-212459.8914010378
71,58,58,49,58,49,1,,0.4201266713581985,,-211548.76821272462
71,58,59,51,57,46,1,141643.93172351376,0.499140006879945,-49.83802816901408,-198825.76274890723
71,58,61,63,74,48,1,217552.0885109233,0.7149292149292149,-62.026002166847235,-208277.82746478872
71,58,63,57,67,51,1,175048.2429593865,0.6067033254778738,-56.25704225352112,-220814.7610490529
71,58,63,64,75,49,1,215132.74405692678,0.7320833333333333,-63.01877934272301,-212710.79067508498
71,59,57,71,68,41,1,264527.2497923123,1.017605633802817,-70.13316261203585,-180927.91358319408
71,59,58,69,68,43,1,256489.74474475576,0.9578005115089515,-68.13943661971831,-189640.87132967295
71,59,59,67,69,52,1,285804.923699344,0.8849232100367727,-66.1225352112676,-228695.65158749107
71,59,62,62,75,48,1,207569.22477239848,0.6780645161290322,-61.01083423618635,-211854.7556696109
71,59,62,63,74,47,1,209800.60140283068,0.7147147147147147,-62.03169014084507,-207473.89090475056
71,59,63,56,68,53,1,177710.8375028894,0.5677521008403361,-55.2,-233202.66006206733
