X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
66,56,56,71,79,50,1,0.028214285714285713,1.12,44.0,0.02151515151515152,0.0
67,55,55,72,73,43,1,0.030866807610993658,1.2790697674418605,31.0,0.02499132245748004,0.0
67,59,56,71,76,48,1,0.028273809523809524,1.2291666666666667,40.0,0.0220771144278607,3.406779661016941
68,56,55,72,70,42,1,0.030303030303030304,1.3333333333333333,29.0,0.02521008403361344,1.2142857142857224
68,56,56,71,78,48,1,0.029017857142857144,1.1666666666666667,40.0,0.02175245098039216,0.0
68,57,55,72,73,44,1,0.03016528925619835,1.2954545454545454,33.0,0.02406417112299465,2.3859649122806985
68,57,55,73,74,44,1,0.030578512396694214,1.2954545454545454,33.0,0.024398395721925134,2.3859649122806985
68,57,57,70,74,46,1,0.02822273073989321,1.2391304347826086,35.0,0.022378516624040924,0.0
68,57,57,71,76,46,1,0.028985507246376812,1.2391304347826086,35.0,0.02269820971867008,0.0
68,60,65,74,91,61,1,0.022950819672131147,0.9836065573770492,57.0,0.017839922854387655,-5.666666666666671
69,56,57,50,54,48,1,0.019736842105263157,1.1666666666666667,39.0,0.015096618357487926,-1.2321428571428612
69,56,57,50,56,46,1,0.02135774218154081,1.2173913043478262,35.0,0.01575299306868305,-1.2321428571428612
69,56,59,51,60,47,1,0.02163721601153985,1.1914893617021276,35.0,0.01572617946345976,-3.6964285714285694
69,60,61,82,81,51,1,0.026036644165863067,1.1764705882352942,41.0,0.02330207445296959,-1.1499999999999915
69,60,62,82,80,50,1,0.025806451612903226,1.2,38.0,0.02376811594202899,-2.299999999999997
70,56,58,51,57,47,1,0.02090975788701394,1.1914893617021276,36.0,0.015501519756838908,-2.5
70,57,56,72,76,46,1,0.029503105590062112,1.2391304347826086,36.0,0.02236024844720497,1.2280701754385888
70,57,57,71,78,49,1,0.027926960257787327,1.163265306122449,41.0,0.020699708454810496,0.0
70,57,59,51,59,47,1,0.02127659574468085,1.2127659574468086,35.0,0.015501519756838908,-2.4561403508771917
70,57,60,52,62,50,1,0.020666666666666667,1.14,40.0,0.014857142857142857,-3.6842105263157947
70,58,59,66,68,50,1,0.02305084745762712,1.16,41.0,0.018857142857142857,-1.2068965517241423
