X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
66,56,56,71,79,50,1,1.5539205381542989,84.0,1.5769418603618668,0.7110266426571102,-78.87878787878788,-8.0,0.0024242424242424242,55.10126582278481,-47.626697194467035,56.0,71.0
67,55,55,72,73,43,1,1.5053104575163399,78.0,1.527301189375592,0.5714845316973438,-72.98507462686567,-1.0,0.0003471017007983339,54.013698630136986,-98.94310430771269,55.0,72.0
67,59,56,71,76,48,1,1.5958989229494613,80.0,1.6191751019967746,0.7160925047074131,-75.92537313432835,-5.0,0.0015547263681592038,58.06578947368421,-54.985746522292345,59.0,71.0
68,56,55,72,70,42,1,1.5193236714975844,74.0,1.5411884060401277,0.6160204481495037,-70.02941176470588,2.0,-0.0007002801120448179,54.971428571428575,-223.51937908471092,56.0,72.0
68,56,56,71,78,48,1,1.5546029802000407,81.0,1.5769570128268873,0.6585596547653497,-77.8970588235294,-7.0,0.0021446078431372547,55.08974358974359,-50.97504573536009,56.0,71.0
68,57,55,72,73,44,1,1.5330112721417068,77.0,1.5550686401645575,0.646367169906888,-72.98529411764706,-1.0,0.00033422459893048126,56.013698630136986,-68.922125222172,57.0,72.0
68,57,55,73,74,44,1,1.5120111177288067,79.0,1.5337793933330253,0.6463069110219053,-73.98529411764706,-1.0,0.00033422459893048126,56.013513513513516,-64.18507193127219,57.0,73.0
68,57,57,70,74,46,1,1.6049689440993788,76.0,1.628022494633575,0.6266086676419218,-73.94117647058823,-4.0,0.001278772378516624,56.054054054054056,-98.37886393630751,57.0,70.0
68,57,57,71,76,46,1,1.582363747703613,79.0,1.6051077331631907,0.6225650439597055,-75.92647058823529,-5.0,0.00159846547314578,56.06578947368421,-84.91780449364785,57.0,71.0
68,60,65,74,91,61,1,1.6647081864473168,97.0,1.688630549066193,0.8971628688319216,-90.75,-17.0,0.004098360655737705,59.18681318681319,-76.83211838686528,60.0,74.0
69,56,57,50,54,48,1,2.2277142857142858,35.0,2.2585416274063035,0.6958512430898403,-53.94202898550725,-4.0,0.0012077294685990338,55.074074074074076,-54.67913244905704,56.0,50.0
69,56,57,50,56,46,1,2.2277142857142858,37.0,2.2585416274063035,0.666886436458466,-55.91304347826087,-6.0,0.001890359168241966,55.107142857142854,-41.962286767290166,56.0,50.0
69,56,59,51,60,47,1,2.222689075630252,42.0,2.253478606910558,0.6812342618409918,-59.869565217391305,-9.0,0.0027752081406105457,55.15,-168.2567383292857,56.0,51.0
69,60,61,82,81,51,1,1.4545296167247386,94.0,1.4752305114050308,0.7407887598570542,-81.01449275362319,1.0,-0.0002841716396703609,58.98765432098765,-19.4374748873572,60.0,82.0
69,60,62,82,80,50,1,1.4665505226480835,93.0,1.4874193397649118,0.7255279142773852,-80.02898550724638,2.0,-0.0005797101449275362,58.975,-37.55049095348214,60.0,82.0
70,56,58,51,57,47,1,2.203811101905551,38.0,2.2339150905105933,0.6715365182360346,-56.91428571428571,-6.0,0.0018237082066869302,55.10526315789474,-39.4494077523034,56.0,51.0
70,57,56,72,76,46,1,1.547339593114241,78.0,1.5689627543274025,0.6560739994896148,-75.94285714285714,-4.0,0.0012422360248447205,56.05263157894737,-59.585537699544915,57.0,72.0
70,57,57,71,78,49,1,1.5830192422138463,79.0,1.6051225473081487,0.6591761762822705,-77.9,-7.0,0.0020408163265306124,56.08974358974359,-53.83053703185,57.0,71.0
