X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
66,56,56,71,79,50,1,0.00025962696797228853,2.8307142857142855,55.9998621817547,-318466.23913645267,,34469.22743706072,-24458.190294749464,1078684995.5118685,0.022982357265376133,0.010428770801240089,69.38983418367346,10826194.69273555
67,55,55,72,73,43,1,0.0002617402684358507,3.0016913319238903,54.99986051728086,-293144.57259532885,,30532.505972221727,-61767.661784103446,1124853625.3457294,0.0260985117616858,0.01028425541426496,70.36366711512589,10358522.424595386
67,59,56,71,76,48,1,0.0002604505795024577,2.8363095238095237,55.99986938484716,-340046.3170190543,,34638.96540626855,-57020.27171037138,1206661159.7625601,0.023602669501931104,0.010227095263761461,70.2006154156578,11748463.682343801
68,56,55,72,70,42,1,0.0002621477389756761,2.987012987012987,54.9998631172759,-291347.4418262914,,30076.156665201008,-80907.29819372718,1214965253.2019134,0.02666645196093429,0.00996408844607195,71.30333951762523,11073196.870453283
68,56,56,71,78,48,1,0.00025997660210570273,2.8720238095238093,55.99986251263881,-314628.52541861,,34473.07910393918,-35018.440635200815,1214965250.4873154,0.023508610845767865,0.01049625786535276,71.39057185374149,11183429.331896484
68,57,55,72,73,44,1,0.0002618657937806089,2.963636363636364,54.99986527662924,-314669.7886967471,,32201.747342200728,-72055.7262709849,1236661060.5169818,0.025767638954452145,0.010179552313225515,71.28006379585328,11319912.443730082
68,57,55,73,74,44,1,0.0002581477896094727,3.004545454545455,54.99986632915557,-323228.4893573845,,32437.225474128358,-72450.61960362177,1236661061.4203606,0.026027271648489166,0.010178482995399894,71.29832535885168,11321513.630485136
68,57,57,70,74,46,1,0.00025974172637894453,2.8199847444698705,56.9998650915258,-299995.02246634586,,32515.768081731978,-54847.35340037736,1236661058.1429696,0.023419021486877557,0.010199529387253284,71.27754359200824,11346102.524051184
68,57,57,71,76,46,1,0.00025595228159193336,2.8768115942028984,56.99986614549826,-312418.5121095115,,33117.39995560661,-54642.17063914763,1236661059.00517,0.02362679273434422,0.010328548165388068,71.29608441393339,11204763.98781241
68,60,65,74,91,61,1,0.0002135293602868802,2.6131147540983606,64.99988414759217,-379451.3232765843,,40735.86506085212,4356.032119039648,1301748482.8949938,0.01764490298414807,0.009697178096927389,71.42688524590164,13575044.27506501
