X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
66,56,56,71,79,50,1,-5212.732142857143,-9.004285714285711,-0.16,135.0,-2480.357158377975
67,55,55,72,73,43,1,-4889.690909090909,0.33995771670190356,-0.023255813953488372,128.0,-2078.3111197532494
67,59,56,71,76,48,1,-5090.796610169492,-5.39406779661016,-0.10416666666666667,132.0,-2410.329718890257
68,56,55,72,70,42,1,-4758.714285714285,5.204081632653051,0.047619047619047616,125.0,-2057.558059109525
68,56,56,71,78,48,1,-5302.732142857143,-8.19642857142858,-0.14583333333333334,134.0,-2450.4522819501003
68,57,55,72,73,44,1,-4962.736842105263,0.2982456140350962,-0.022727272727272728,128.0,-2160.323197255966
68,57,55,73,74,44,1,-5030.7192982456145,0.2982456140350962,-0.022727272727272728,129.0,-2128.6933277371777
68,57,57,70,74,46,1,-5030.771929824561,-4.149504195270778,-0.08695652173913043,131.0,-2422.4729733949043
68,57,57,71,76,46,1,-5166.754385964912,-5.627765064835995,-0.10869565217391304,133.0,-2386.3196626764757
68,60,65,74,91,61,1,-6186.766666666666,-17.687431693989065,-0.2786885245901639,156.0,-3515.355678853865
69,56,57,50,54,48,1,-3725.1071428571427,-3.9787946428571472,-0.08333333333333333,111.0,-3650.5535495746426
69,56,57,50,56,46,1,-3863.1071428571427,-7.151785714285719,-0.13043478260869565,113.0,-3492.997859291869
69,56,59,51,60,47,1,-4139.089285714285,-11.403875379939215,-0.19148936170212766,119.0,-3625.900271633837
69,60,61,82,81,51,1,-5587.633333333333,2.9088235294117726,0.0196078431372549,142.0,-2486.053702458388
69,60,62,82,80,50,1,-5518.633333333333,4.3470000000000075,0.04,142.0,-2476.9950966708557
70,56,58,51,57,47,1,-3989.089285714286,-7.074468085106383,-0.1276595744680851,115.0,-3615.325171298519
70,57,56,72,76,46,1,-5318.736842105263,-4.218154080854299,-0.08695652173913043,132.0,-2377.733487691768
70,57,57,71,78,49,1,-5458.754385964912,-8.24561403508771,-0.14285714285714285,135.0,-2627.194133463011
70,57,59,51,59,47,1,-4129.105263157895,-10.085852930197836,-0.1702127659574468,118.0,-3678.2356818844023
70,57,60,52,62,50,1,-4339.087719298245,-12.280701754385966,-0.2,122.0,-3910.601284418271
70,58,59,66,68,50,1,-4758.862068965517,-1.1103448275862007,-0.04,127.0,-3002.3571245444755
70,58,59,67,68,49,1,-4758.8448275862065,0.2955665024630605,-0.02040816326530612,127.0,-2893.940707142577
70,58,63,66,80,60,1,-5598.862068965517,-14.925287356321833,-0.23333333333333334,143.0,-3882.185614925941
70,58,63,67,80,59,1,-5598.8448275862065,-13.99181765049678,-0.22033898305084745,143.0,-3756.505389058194
70,59,58,68,70,50,1,-4898.847457627118,-1.1389830508474545,-0.04,128.0,-2857.551879442493
70,59,58,69,70,50,1,-4898.830508474576,0.2610169491525454,-0.02,128.0,-2814.1423245908704
70,59,59,67,69,51,1,-4828.864406779661,-1.1166500498504457,-0.0392156862745098,128.0,-3016.1397370476725
70,59,60,71,70,43,1,-4898.796610169492,3.5593220338983085,0.023255813953488372,130.0,-2415.5203268523464
70,59,61,63,74,46,1,-5178.932203389831,-14.933677229182017,-0.2391304347826087,135.0,-2989.974023732172
70,59,62,63,74,46,1,-5178.932203389831,-14.933677229182017,-0.2391304347826087,136.0,-3041.007068797637
70,59,62,63,74,47,1,-5178.932203389831,-14.615939415795165,-0.23404255319148937,136.0,-3109.900883961258
