X0,X1,X2,X3,X4,X5,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
66,56,56,71,79,50,1,-2.369342821030426e-08,0.05828230455891066,-3586.3229905485005,56.0,785501451739377.5,-57.21126760563379,5665.0
67,55,55,72,73,43,1,1.994521894563531e-06,0.08458550752079277,-3515.6549989101536,55.0,480650607894058.44,-65.23611111111111,5311.0
67,59,56,71,76,48,1,5.397741524350785e-07,0.06519581768806072,-3995.883743797233,56.0,699418058718373.2,-61.16901408450704,5455.0
68,56,55,72,70,42,1,2.5331738236031342e-06,0.0907987051838316,-3848.8991086851565,55.0,413100463099909.75,-69.22222222222223,5096.0
68,56,56,71,78,48,1,3.7304812136702354e-07,0.06613987843275931,-3791.127064210579,56.0,723813862362094.6,-60.21126760563379,5594.0
68,57,55,72,73,44,1,1.6389798294567664e-06,0.08120624878721215,-3797.0884788893936,55.0,524886583689386.8,-66.20833333333331,5313.0
68,57,55,73,74,44,1,1.6661582449398732e-06,0.08131423493915457,-3635.022609940446,55.0,559392832348082.8,-66.21917808219177,5459.0
68,57,57,70,74,46,1,1.1143983426551044e-06,0.07362535316866647,-4263.717466896694,57.0,569264818391122.9,-63.18571428571428,5237.0
68,57,57,71,76,46,1,1.04541895213046e-06,0.07368065232205176,-4018.6646344094734,57.0,636603864367510.2,-62.19718309859155,5453.0
68,60,65,74,91,61,1,-7.638554171240209e-07,0.03929483686823994,-4553.922393228778,65.0,2009948926606665.5,-50.18918918918919,6794.0
69,56,57,50,54,48,1,3.2930030515634954e-07,0.06917044004165207,-12644.061016264555,57.0,135740518499884.16,-63.879999999999995,2756.0
69,56,57,50,56,46,1,4.042925377839691e-07,0.07738016839327361,-11840.887931365414,57.0,145668554749302.4,-61.879999999999995,2856.0
69,56,59,51,60,47,1,2.2150474658003326e-07,0.07394160254858324,-11038.63503596467,59.0,196348126460811.75,-58.90196078431373,3116.0
69,60,61,82,81,51,1,1.218400855366761e-06,0.060911187232482684,-3572.536790670829,61.0,1153337020796336.8,-69.26829268292681,6702.0
69,60,62,82,80,50,1,1.5666819867917482e-06,0.06417111785945524,-3688.700477192806,62.0,1073111039994105.4,-70.26829268292681,6620.0
70,56,58,51,57,47,1,3.8308945058265294e-07,0.07435709581399842,-11914.962398756858,58.0,164615150907871.0,-62.90196078431373,2963.0
70,57,56,72,76,46,1,9.99017487600799e-07,0.07540664924292255,-4035.8543497375613,56.0,658166606046579.2,-65.20833333333331,5529.0
70,57,57,71,78,49,1,3.181124627090941e-07,0.06505844192181989,-4255.578789444774,57.0,776649268612685.9,-62.19718309859155,5595.0
70,57,59,51,59,47,1,2.9530497878837174e-07,0.07554585379119955,-11873.430752911865,59.0,191065492802275.06,-60.882352941176464,3066.0
